강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고창
기간 : 20160101~20200928

날짜,지점,강수량(mm)
2017-06-09,172,
2017-06-10,172,
2017-06-11,172,
2017-06-12,172,
2017-06-13,172,
2017-06-14,172,
2017-06-15,172,
2017-06-16,172,
2017-06-17,172,
2017-06-18,172,
2017-06-19,172,
2017-06-20,172,0
2017-06-21,172,
2017-06-22,172,
2017-06-23,172,
2017-06-24,172,0.2
2017-06-25,172,
2017-06-26,172,5.6
2017-06-27,172,2.6
2017-06-28,172,0
2017-06-29,172,
2017-06-30,172,0.2
2017-07-01,172,0.6
2017-07-02,172,3.2
2017-07-03,172,3.4
2017-07-04,172,1.3
2017-07-05,172,0.2
2017-07-06,172,0.3
2017-07-07,172,0
2017-07-08,172,68.3
2017-07-09,172,0.1
2017-07-10,172,7.5
2017-07-11,172,1.1
2017-07-12,172,
2017-07-13,172,
2017-07-14,172,8.2
2017-07-15,172,81.2
2017-07-16,172,
2017-07-17,172,39
2017-07-18,172,0.9
2017-07-19,172,0.1
2017-07-20,172,
2017-07-21,172,
2017-07-22,172,
2017-07-23,172,
2017-07-24,172,
2017-07-25,172,11
2017-07-26,172,
2017-07-27,172,
2017-07-28,172,
2017-07-29,172,0.3
2017-07-30,172,35.2
2017-07-31,172,15.9
2017-08-01,172,
2017-08-02,172,0.2
2017-08-03,172,
2017-08-04,172,
2017-08-05,172,
2017-08-06,172,
2017-08-07,172,
2017-08-08,172,4
2017-08-09,172,3.6
2017-08-10,172,
2017-08-11,172,0
2017-08-12,172,7.1
2017-08-13,172,27
2017-08-14,172,16.5
2017-08-15,172,5.7
2017-08-16,172,0.7
2017-08-17,172,0.4
2017-08-18,172,
2017-08-19,172,0
2017-08-20,172,41.6
2017-08-21,172,52.5
2017-08-22,172,11.3
2017-08-23,172,1.8
2017-08-24,172,8.6
2017-08-25,172,47.1
2017-08-26,172,
2017-08-27,172,
2017-08-28,172,0
2017-08-29,172,15.3
2017-08-30,172,
2017-08-31,172,
2017-09-01,172,
2017-09-02,172,
2017-09-03,172,
2017-09-04,172,
2017-09-05,172,4.4
2017-09-06,172,17.5
2017-09-07,172,0.1
2017-09-08,172,
2017-09-09,172,
2017-09-10,172,3.6
2017-09-11,172,71.9
2017-09-12,172,
2017-09-13,172,
2017-09-14,172,
2017-09-15,172,
2017-09-16,172,
2017-09-17,172,
2017-09-18,172,
2017-09-19,172,
2017-09-20,172,
2017-09-21,172,
2017-09-22,172,
